,few_shots,rag,answers
0,Contradicted,Contradiction,Contradiction
1,Contradicted,Contradicted,Contradiction
2,Entailment,Entailment,Entailment
3,Entailment,Entailment,Entailment
4,Entailment,Entailment,Entailment
5,Entailment,Entailment,Entailment
6,Entailment,Contradicted,Entailment
7,Entailment,Entailment,Entailment
8,Entailment,Entailment,Entailment
9,Entailment,Entailment,Entailment
10,Entailment,Contradicted,Entailment
11,Entailment,Entailment,Entailment
12,Entailment,Undetermined,Entailment
13,Entailment,Entailment,Entailment
14,Entailment,Entailment,Entailment
15,Entailment,Entailment,Entailment
16,Entailment,Entailment,Entailment
17,Entailment,Entailment,Entailment
18,Entailment,Entailment,Entailment
19,Entailment,Entailment,Entailment
20,Entailment,Entailment,Entailment
21,Entailment,Entailment,Entailment
22,Contradicted,Contradicted,Contradiction
23,Contradicted,Entailment,Contradiction
24,Insufficient,Entailment,Contradiction
25,Contradicted,Contradicted,Contradiction
26,Entailment,Entailment,Entailment
27,Entailment,Entailment,Entailment
28,Entailment,Entailment,Entailment
29,Entailment,Entailment,Entailment
30,Entailment,Entailment,Entailment
31,Entailment,Entailment,Entailment
32,Entailment,Entailment,Entailment
33,Contradicted,Entailment,Contradiction
34,Entailment,Entailment,Entailment
35,Entailment,Entailment,Entailment
36,Entailment,Entailment,Entailment
37,Entailment,Entailment,Entailment
38,Entailment,Entailment,Entailment
39,Entailment,Entailment,Entailment
40,Entailment,Entailment,Entailment
41,Contradicted,Contradicted,Contradiction
42,Entailment,Entailment,Entailment
43,Contradicted,Contradicted,Contradiction
44,Entailment,Entailment,Entailment
45,Entailment,Entailment,Entailment
46,Entailment,Entailment,Entailment
47,Entailment,Entailment,Entailment
48,Contradicted,Contradicted,Contradiction
49,Entailment,Entailment,Contradiction
50,Entailment,Entailment,Entailment
51,Entailment,Entailment,Entailment
52,Entailment,Entailment,Entailment
53,Entailment,Entailment,Entailment
54,Entailment,Entailment,Entailment
55,Contradicted,Contradicted,Contradiction
56,Contradicted,Contradicted,Contradiction
57,Entailment,Entailment,Entailment
58,Entailment,Inconclusive,Entailment
59,Entailment,Entailment,Entailment
60,Entailment,Entailment,Entailment
61,Entailment,Entailment,Entailment
62,Entailment,Contradicted,Entailment
63,Entailment,Entailment,Entailment
