,few_shots_answer,rag_answer,answers,few_shots_time,rag_time
0,Contradiction,Entailment,Entailment,4.547606833999453,2.7920807499995135
1,Contradiction,N/A,Entailment,3.997686291999344,4.776211125001282
2,Entailment,Entailment,Entailment,3.3492646660015453,4.958034332999887
3,Entailment,Entailment,Entailment,4.422406375000719,2.805955832998734
4,Entailment,Entailment,Entailment,4.087092624999059,5.240417082999556
5,Entailment,Entailment,Entailment,3.652117083000121,2.0659237500003655
6,Entailment,Entailment,Entailment,4.661712875000376,1.7789071669976693
7,Entailment,Entailment,Entailment,3.71888654200302,2.0634276249984396
8,Entailment,Entailment,Entailment,3.80652975000703,1.1461287919955794
9,Entailment,Entailment,Entailment,3.871203458002128,2.13665816700086
10,Entailment,Entailment,Entailment,3.649260875004984,2.05181879200245
11,Contradiction,Contradicted,Entailment,3.674419125003624,2.6289350419974653
12,Entailment,Entailment,Entailment,4.265702374999819,2.5089724590015976
13,Entailment,Entailment,Entailment,3.645331167001132,6.224397833999319
14,Entailment,Entailment,Entailment,4.391882584000996,2.9569085000002815
15,Entailment,Entailment,Entailment,3.062351208000109,2.8556207500005257
16,Entailment,Entailment,Entailment,3.6734430409997,2.007001666001088
17,Entailment,Entailment,Entailment,4.20034783400115,1.94586283299941
18,Entailment,Entailment,Entailment,4.224816707999707,2.1718989580040216
19,N/A,Entailment,Entailment,3.227575584001898,2.0407581659965217
20,Entailment,Contradicted,Contradiction,4.016646625001158,7.830721874999654
21,Contradiction,Contradiction,Contradiction,4.002431041000818,3.5849203329999
22,Entailment,Entailment,Entailment,3.765848291999646,2.9378079170001
23,Entailment,Entailment,Entailment,3.0629468750012165,4.512393708000673
24,Entailment,Entailment,Entailment,4.193756833001316,2.4140417910002725
25,Entailment,Entailment,Entailment,6.502409291999356,2.667078499998752
26,Entailment,Contradicted,Entailment,4.177042374998564,2.2627090829992085
27,Contradiction,Contradiction,Contradiction,3.5788121250006952,2.2529010830039624
28,Entailment,Entailment,Entailment,8.303560124999422,2.3958989170005225
29,Entailment,N/A,Entailment,3.6860809579993656,5.484410082999602
30,Entailment,Entailment,Entailment,4.569260124999346,2.081866833999811
31,Entailment,Entailment,Entailment,4.446404917000109,2.2057583749992773
32,Entailment,Entailment,Entailment,3.548687082999095,2.6126289170006203
33,Entailment,Entailment,Entailment,8.872308833999341,1.9525654999961264
34,Contradiction,Entailment,Entailment,4.088559083000291,2.071878957998706
35,Entailment,Entailment,Entailment,4.08069954200073,2.412897707999946
36,Entailment,Entailment,Entailment,4.139214249998986,4.362393874998816
37,Contradiction,Contradiction,Contradiction,4.2833164160001616,2.659689875001277
38,Entailment,Entailment,Entailment,3.914945915999851,7.720763625000472
39,Contradiction,Contradicted,Entailment,3.460851042000286,2.1836667500028852
40,Entailment,Entailment,Entailment,3.7826465830003144,2.361269415996503
41,Entailment,Entailment,Entailment,4.781190666995826,1.9823488330002872
42,Entailment,Entailment,Entailment,3.995552833002875,3.78467054199973
43,Entailment,Entailment,Entailment,4.508617541998319,5.829189292000592
44,Entailment,Entailment,Entailment,3.9598050830009015,2.5330609590000677
45,Entailment,Entailment,Entailment,3.2355082079993736,2.475478333000865
46,Contradiction,Entailment,Entailment,3.2205889169999864,2.107363874998555
47,Entailment,Entailment,Entailment,3.6152904169994144,5.60877199999959
48,Entailment,Contradicted,Entailment,3.266616791999695,1.9192442499988829
49,Entailment,Entailment,Entailment,4.081310458997905,1.8191548749964568
50,Entailment,Entailment,Entailment,3.940950207994319,9.742156416999933
51,Entailment,Entailment,Entailment,11.346521750001555,6.28146283299975
52,Entailment,Entailment,Entailment,3.574854083000901,7.129583916001138
53,Entailment,N/A,Entailment,5.272830333000456,12.516419875000793
54,Entailment,Entailment,Entailment,3.793126624999786,5.369282458999805
55,Contradiction,N/A,Entailment,3.3190817499998957,7.229269082999963
56,Entailment,Entailment,Entailment,4.362941082999896,3.6655797919993343
57,Entailment,Entailment,Entailment,3.3164860420001787,2.2460937920004653
58,Entailment,Entailment,Entailment,4.076111500000479,3.0364826249988255
59,Entailment,Entailment,Entailment,3.163853415999256,2.053814999999304
60,Entailment,Entailment,Entailment,3.594788125001287,1.7762414160024491
61,Entailment,Entailment,Entailment,4.282977458999085,2.1230963339985465
62,Entailment,Entailment,Entailment,6.79453016700063,7.256276209000134
63,Entailment,Entailment,Entailment,3.79562262500076,3.1353171249993466
64,Entailment,Entailment,Entailment,3.7944979170006263,1.8076870830009284
65,Entailment,Entailment,Entailment,3.251990583999941,5.640118084000278
66,Contradiction,Contradiction,Contradiction,3.5625290839998343,1.8622711669995624
67,Contradicted,Contradiction,Contradiction,8.998478292000073,4.894610709001427
68,Entailment,Contradiction,Contradiction,3.97299366700463,2.8706239169987384
69,Contradiction,Entailment,Contradiction,4.385054667000077,5.7730507500000385
70,Entailment,Entailment,Entailment,3.264345209001476,2.4378295420010545
71,Contradiction,Entailment,Entailment,3.2417112919993087,5.486084459000267
72,Entailment,Entailment,Entailment,4.318200874999093,2.1767444999986765
73,Entailment,Entailment,Entailment,5.616279082998517,5.269537000000128
74,Contradiction,Entailment,Entailment,3.685546290995262,2.0052114999998594
75,Entailment,Entailment,Entailment,4.182030916999793,1.9659787089985912
76,Entailment,Entailment,Entailment,3.892907458999616,11.817285915998582
77,N/A,Entailment,Entailment,6.15309066699956,2.2458789580014127
78,Entailment,Entailment,Entailment,3.58476258400151,2.758468541000184
79,N/A,Entailment,Entailment,5.715805833000559,3.1846782920001715
80,N/A,Entailment,Entailment,5.446740499999578,2.0546287919987662
81,Entailment,Entailment,Entailment,3.222049459000118,6.5644206249999115
82,Entailment,Entailment,Entailment,4.244764708999355,2.212920457999644
83,Entailment,Entailment,Entailment,3.454948708000302,3.076299125001242
84,Entailment,Entailment,Entailment,3.1415177079998102,3.71474279100039
85,Entailment,Entailment,Entailment,3.1633855420004693,2.1916821249997156
86,Entailment,Entailment,Entailment,4.489091249999547,4.669774791000236
87,Entailment,Entailment,Entailment,5.106643334000182,1.961314374999347
88,Entailment,Entailment,Entailment,3.901703000001362,2.065253083004791
89,Contradiction,Entailment,Entailment,2.9869894590010517,2.410216958000092
90,Entailment,Entailment,Entailment,7.579475624999759,6.001797499999157
91,Contradiction,Contradiction,Contradiction,2.951451499999166,1.8128533750004865
92,Contradiction,Contradiction,Contradiction,3.465290709000328,2.4771670829995855
93,Contradiction,Contradiction,Contradiction,4.5150105419998,2.6749264589998347
94,Entailment,Entailment,Entailment,4.327834083000198,2.0743180829958874
95,Entailment,Entailment,Entailment,2.806943333001982,1.985343250002188
96,Entailment,Entailment,Entailment,2.7578199580020737,2.5472981670027366
97,Entailment,Entailment,Entailment,2.34297024999978,2.0937531250019674
98,Contradiction,Entailment,Entailment,7.246415749999869,1.7989488749990414
99,N/A,Entailment,Entailment,4.693572124999264,2.1260282919993188
100,Entailment,Entailment,Entailment,3.683047542001077,2.467266749999908
101,Entailment,Entailment,Entailment,4.8308029170002555,3.662565749998976
102,Entailment,Entailment,Entailment,3.057996290999654,2.17040229200029
103,Entailment,Entailment,Entailment,4.1551409590010735,1.8369063749996712
104,Entailment,Contradicted,Entailment,2.9691451249964302,2.2807021670014365
105,Entailment,Entailment,Entailment,3.0853526659993804,1.9230658330052393
106,N/A,Entailment,Entailment,4.482231082998624,2.508233915999881
107,Entailment,Entailment,Entailment,3.7830323340003815,8.985806207998394
108,N/A,Entailment,Entailment,4.927657124999314,1.9235085000000256
109,N/A,Entailment,Entailment,5.255850457999259,1.9738112079994607
110,N/A,Entailment,Entailment,4.41003287499916,1.9337054579991673
111,Entailment,Entailment,Entailment,3.724972209000043,2.0015914579998935
112,Entailment,Entailment,Entailment,4.888036999998803,5.83535858399955
113,Entailment,Entailment,Entailment,3.751384125000186,6.8109655839998595
114,Contradiction,Contradiction,Contradiction,3.066496208000899,1.9890249589989253
115,Contradiction,Contradiction,Contradiction,2.960548834000292,2.601424541000597
116,Contradiction,Contradiction,Contradiction,3.092233875000602,2.806933707999633
117,Contradiction,Contradiction,Contradiction,3.6272494580007337,3.058036083999468
118,Entailment,Entailment,Entailment,3.3931955829993967,3.267457916999774
119,Entailment,Entailment,Entailment,3.529362416998993,2.0453092499992636
120,Entailment,Entailment,Entailment,4.287205874999927,1.792145083003561
121,Entailment,Entailment,Entailment,3.50451683299616,2.1117449160010437
122,Entailment,Entailment,Entailment,6.73763416699876,2.802168291000271
123,Contradiction,Contradiction,Contradiction,4.3351998340003775,1.774114207999446
124,Contradiction,Contradiction,Contradiction,5.933381625000038,1.6738552499991783
125,Contradiction,Contradiction,Contradiction,3.1411084579995077,5.280458082999758
126,Contradiction,Contradicted,Contradiction,4.430142875000456,5.689232999999149
127,Contradiction,Contradicted,Contradiction,4.57595691700044,8.7717212080006
128,Entailment,Contradiction,Contradiction,3.094767583999783,2.8308609169998817
129,N/A,Contradiction,Contradiction,5.523914625000543,1.9680872499993711
130,Contradiction,Contradiction,Contradiction,4.386089749999883,2.0627481659994373
131,Contradiction,Contradiction,Contradiction,3.71376920900002,2.7973524170010933
132,Contradiction,Contradiction,Contradiction,5.106768125000599,3.4769922909999877
133,Entailment,Contradiction,Contradiction,3.469860625000365,1.7681487499994546
134,Contradiction,Contradiction,Contradiction,3.163640167000267,1.938677166996058
135,N/A,Entailment,Entailment,4.125245082999754,1.9800222500052769
136,Entailment,N/A,Entailment,2.65418208399933,4.810362124997482
137,Entailment,Entailment,Entailment,34.58955900000001,2.7854437499991036
138,Entailment,Entailment,Entailment,3.7926104590005703,2.837894915999641
139,Contradiction,Entailment,Contradiction,5.348653290999209,5.044869124998513
140,Contradiction,Entailment,Contradiction,3.217292166000334,6.650150167000902
