,few_shots_answer,rag_answer,answers,few_shots_time,rag_time
0,Entailment,Contradicted,Entailment,2.065934374999415,4.113847957998587
1,Contradicted,Entailment,Entailment,2.1184987500000716,1.28857225000138
2,Entailment,Entailment,Entailment,1.9329021249996003,1.0671148750006978
3,Entailment,Entailment,Entailment,2.1330062090000865,1.555939584000953
4,Entailment,Entailment,Entailment,4.501112791998821,3.860810583000784
5,Entailment,Entailment,Entailment,2.0850174999995943,1.676199458001065
6,Entailment,Entailment,Entailment,2.319511790999968,5.423613083999953
7,Entailment,Entailment,Entailment,2.209972333001133,1.3152267080004094
8,Entailment,Entailment,Entailment,2.1066310000005615,5.50408808300017
9,Entailment,Entailment,Entailment,2.2299703749995388,1.1428313750002417
10,Entailment,Entailment,Entailment,2.0966072909996,1.4874097089996212
11,Contradicted,Entailment,Entailment,1.9407960410007945,1.1670029160013655
12,Contradiction,Entailment,Entailment,2.1046985409993795,1.1810749579999538
13,Entailment,Entailment,Entailment,1.9393051669994747,1.0266063750004832
14,Entailment,Entailment,Entailment,2.0795691250004893,1.2654194579990872
15,Entailment,Entailment,Entailment,2.25609004099897,1.0730402919998596
16,Entailment,Entailment,Entailment,2.043582416999925,1.525717041000462
17,Entailment,Entailment,Entailment,1.9614238749982176,1.0437232080003014
18,Entailment,Entailment,Entailment,1.9946925420008483,1.3326498750011524
19,Entailment,Entailment,Entailment,2.102514083000642,1.3916617919985583
20,Contradiction,Contradiction,Contradiction,1.8294023329999616,1.1426346669995835
21,Contradiction,Contradiction,Contradiction,2.029106916999808,1.282054834000519
22,Entailment,Entailment,Entailment,2.026523709000685,1.1391613750020042
23,Entailment,Entailment,Entailment,1.980992791999597,0.9987324999965494
24,Entailment,Entailment,Entailment,1.921832332998747,4.26663974999974
25,Contradicted,Contradicted,Entailment,2.0658659159998933,2.2414633329990465
26,Contradiction,Entailment,Entailment,1.9983737910006312,1.172570500000802
27,Contradiction,Contradicted,Contradiction,2.034526542000094,3.0244717500008846
28,Entailment,Entailment,Entailment,2.3658258329996897,1.6026415420001283
29,Entailment,Entailment,Entailment,1.9504971250007657,1.2060792909996962
30,Entailment,Entailment,Entailment,2.009842415998719,1.275930541998605
31,Entailment,Entailment,Entailment,1.9434765839996544,1.1715142080010992
32,Entailment,Entailment,Entailment,1.9624828750002052,1.3351741249989573
33,Entailment,Entailment,Entailment,2.041299040998638,1.0833834169989132
34,Entailment,Entailment,Entailment,2.045514917001128,1.3656570419989291
35,Entailment,Entailment,Entailment,2.04263866600013,1.158518542004458
36,Entailment,Entailment,Entailment,2.0496800000037183,1.0128287089974035
37,Contradicted,Contradicted,Contradiction,2.1433652080013417,5.332016416999977
38,Entailment,Entailment,Entailment,2.6879855420011154,3.9168227079990174
39,Entailment,Entailment,Entailment,1.9625684169986928,1.2150340000007418
40,Entailment,Entailment,Entailment,1.9148889999996752,1.398857083000621
41,Entailment,Entailment,Entailment,2.048026458000095,3.0263182910002797
42,Entailment,Entailment,Entailment,2.0398598329993547,1.260359875001086
43,Entailment,Entailment,Entailment,2.146557624999332,4.9650385420009115
44,Contradicted,Entailment,Entailment,2.141196332999243,1.179308624999976
45,Entailment,Entailment,Entailment,2.146951667000394,1.3394939160007198
46,Entailment,Entailment,Entailment,2.0669783749999624,3.1216504159983742
47,Entailment,Contradicted,Entailment,1.9980438750008032,0.9634731670012116
48,Entailment,Contradicted,Entailment,2.1888985840050736,1.2788318329985486
49,Entailment,Entailment,Entailment,5.177115958000286,1.4046249170005467
50,Entailment,Entailment,Entailment,2.4283814589998656,4.765568249998978
51,Entailment,Entailment,Entailment,2.046246166999481,1.1662188329992205
52,Entailment,Entailment,Entailment,1.8887960840002052,1.283661542000118
53,Entailment,Entailment,Entailment,1.797948458000974,1.055089333000069
54,Entailment,Entailment,Entailment,2.0245965419999266,1.2424251669999649
55,Entailment,Entailment,Entailment,1.884835209000812,1.1881431660003727
56,Entailment,Entailment,Entailment,2.047493416999714,1.1768491670009098
57,Entailment,Entailment,Entailment,2.0319047079992743,1.200150541999392
58,Contradicted,Entailment,Entailment,2.036200958998961,1.183148166999672
59,Entailment,Entailment,Entailment,2.3521710830009397,1.136921875000553
60,Entailment,Entailment,Entailment,1.8773545420008304,1.193005582999831
61,Entailment,Contradicted,Entailment,1.9845850839992636,0.9962457910005468
62,Entailment,Entailment,Entailment,2.0115354169975035,2.3114692919989466
63,Entailment,Entailment,Entailment,1.8721139999997831,1.025018333000844
64,Entailment,Entailment,Entailment,1.8079268330002376,1.143524790999436
65,Entailment,Entailment,Entailment,2.056802125000104,1.371861916999478
66,Contradiction,Contradiction,Contradiction,2.0624615000015183,1.1979396660008206
67,Contradiction,Contradiction,Contradiction,1.7235997499992664,1.194972000001144
68,Contradiction,Contradiction,Contradiction,1.721930749999956,1.1669526669993502
69,Contradiction,Contradicted,Contradiction,2.407712750000428,3.3124368750013673
70,Entailment,Entailment,Entailment,2.554738415999964,1.2871564580000268
71,Entailment,Entailment,Entailment,2.0000468749985885,1.281672916999014
72,Entailment,Entailment,Entailment,1.8563897919993904,1.2167659170008849
73,Entailment,Entailment,Entailment,3.4949836249998043,1.498098250000112
74,Entailment,Entailment,Entailment,1.976031749998583,1.0944041249967995
75,Contradicted,Contradicted,Entailment,1.777329374999681,1.020842959005677
76,Contradicted,Entailment,Entailment,2.1018567080027424,4.722260833001201
77,Entailment,Entailment,Entailment,2.146454290999827,1.354894791998959
78,Entailment,Entailment,Entailment,1.9382688330006204,1.1620193329999893
79,Entailment,Entailment,Entailment,1.8321642919981969,1.0230077919986795
80,Entailment,Entailment,Entailment,1.8753003750007335,1.0714490830014256
81,Entailment,Entailment,Entailment,2.134174917000564,1.283890374999828
82,Entailment,Entailment,Entailment,4.177781791999223,1.382781749998685
83,Entailment,Entailment,Entailment,2.0319532089997665,1.7256997499989666
84,Entailment,Entailment,Entailment,1.9774050830001215,1.345511333000104
85,Contradicted,Entailment,Entailment,3.3438042079997103,1.1731302919997688
86,Entailment,Entailment,Entailment,2.044191958000738,3.7471934579989465
87,Entailment,Entailment,Entailment,1.992403792000914,1.1041323329991428
88,Entailment,Entailment,Entailment,1.798906291998719,1.0670388330036076
89,Entailment,Entailment,Entailment,2.1111136250037816,2.5116689169990423
90,Entailment,Contradicted,Entailment,2.3391890420007257,2.8908306250013993
91,Contradiction,Contradiction,Contradiction,1.9567103749996024,0.972164958000576
92,Contradiction,Contradiction,Contradiction,2.013610833000712,1.342039332999775
93,Contradicted,Contradicted,Contradiction,2.368188417000056,2.5866483750014595
94,Entailment,Entailment,Entailment,2.0551472089991876,1.6152302919999784
95,Entailment,Entailment,Entailment,3.4027733330003684,1.4312126250006258
96,Entailment,Entailment,Entailment,2.0823609170001873,1.175822499999413
97,Entailment,Entailment,Entailment,2.0391292910007905,1.5775782919990888
98,Contradicted,Contradicted,Entailment,1.9131895420014189,2.5118605839998054
99,Contradicted,Contradicted,Entailment,1.8624123749996215,1.2235393339997245
100,Entailment,Entailment,Entailment,34.055438916999265,2.6842327909998858
101,Entailment,Entailment,Entailment,2.1744219579995843,1.1674452080005722
102,Entailment,Entailment,Entailment,2.0318419159993937,1.1605806669995218
103,Entailment,Entailment,Entailment,2.337664667000354,3.1918164170001546
104,Entailment,Entailment,Entailment,1.9292487080001592,1.138328790999367
105,Entailment,Entailment,Entailment,1.7612647919995652,1.1077117500008171
106,Entailment,Entailment,Entailment,2.053640666001229,1.2157012919997214
107,Entailment,Entailment,Entailment,1.986960291998912,1.3524138329994455
108,Entailment,Entailment,Entailment,1.8167392079994895,1.0371166670011007
109,Entailment,Entailment,Entailment,1.783983665998676,1.0668347499995434
110,Entailment,Entailment,Entailment,1.8374089170010848,1.099629708000066
111,Entailment,Entailment,Entailment,2.1366437079996103,1.1928418329989654
112,Entailment,Entailment,Entailment,1.8710208749998856,1.4056799580012012
113,Entailment,Entailment,Entailment,2.196041458999389,1.5766791250007373
114,Contradiction,Contradiction,Contradiction,1.8432907919996069,1.0364587500007474
115,Contradiction,Contradiction,Contradiction,1.8700248340010148,1.163196499999685
116,Contradiction,Contradicted,Contradiction,1.8407329580004443,1.025925833000656
117,Contradiction,Contradiction,Contradiction,1.8860715410010016,1.3757842919985706
118,Contradicted,Entailment,Entailment,1.9702067499983968,1.22138087500025
119,Entailment,Entailment,Entailment,2.091504250000071,1.129853041999013
120,Entailment,Entailment,Entailment,1.7859877079990838,1.1686470410004404
121,Entailment,Entailment,Entailment,1.8619654160011123,1.1345113329989545
122,Entailment,Entailment,Entailment,2.3141320409995387,1.555665375000899
123,Contradiction,Contradiction,Contradiction,1.7832067500003177,0.9920720829977654
124,Contradiction,Contradiction,Contradiction,2.074157582996122,1.0167747499945108
125,Contradiction,Contradiction,Contradiction,1.7252241659953145,2.3214829159987858
126,Contradiction,Contradicted,Contradiction,2.0958381250002276,1.2008861670001352
127,Contradicted,Contradiction,Contradiction,1.9842244579995167,1.2055230419991858
128,Contradiction,Contradiction,Contradiction,2.0947468750000553,1.143685375000132
129,Contradiction,Contradiction,Contradiction,1.9433398749988555,1.0670446250005623
130,Contradiction,Contradiction,Contradiction,2.275379458000316,1.2497353340004338
131,Contradicted,Contradiction,Contradiction,1.9645915000000969,1.1519981250003184
132,Contradicted,Contradiction,Contradiction,2.0319614580002963,1.3801599999987957
133,Contradiction,Contradicted,Contradiction,1.9094123329996364,1.0046431669998128
134,Contradiction,Contradiction,Contradiction,1.9938895840004989,1.505673540999851
135,Entailment,Entailment,Entailment,2.0437450830013404,1.019326457999341
136,Entailment,Entailment,Entailment,2.1274382080009673,1.3082567500005098
137,Entailment,Entailment,Entailment,2.1281047920001583,0.997224582999479
138,Entailment,Entailment,Entailment,2.131651583003986,1.104223666996404
139,Contradiction,Contradicted,Contradiction,2.0672897080003168,5.599644416000956
140,Contradicted,Contradiction,Contradiction,2.8399709590012208,1.151605416000166
141,Contradiction,Contradiction,Contradiction,1.9359319169998344,0.7229867079986434
142,Contradiction,Contradiction,Contradiction,2.0039872079996712,1.5358342500003346
143,Entailment,Entailment,Entailment,1.9957085000005463,1.383065166999586
144,Entailment,Entailment,Entailment,1.9138413750006291,1.174022541999875
145,Entailment,Entailment,Entailment,2.318409416999202,1.272680041998683
146,Entailment,Entailment,Entailment,2.0274619169995276,1.1282925000014077
147,Entailment,Entailment,Entailment,1.902494124999066,1.2065559579987166
148,Entailment,Entailment,Entailment,2.0568736669993086,1.2711883329993725
149,Entailment,Entailment,Entailment,2.197756916999424,1.187399667000136
150,Entailment,Entailment,Entailment,1.7923086669998156,1.1494642079996993
151,Entailment,Entailment,Entailment,2.0029439170011756,1.1501705829996354
152,Entailment,Contradicted,Entailment,2.148258250001163,1.0154685829984371
153,Entailment,Contradicted,Entailment,2.382021000004898,1.0012461670048651
154,Entailment,Entailment,Entailment,3.114470667000205,1.296464625000226
155,Entailment,Entailment,Entailment,3.5228527079998457,1.1126947499997186
156,Entailment,Entailment,Entailment,1.8882876250008849,1.0672955840000211
157,Entailment,Entailment,Entailment,2.2560463339996204,1.5538127500003611
158,Entailment,Entailment,Entailment,3.7588517919994047,1.008406750001086
159,Entailment,Entailment,Entailment,1.9420877499997005,1.113698999999542
160,Entailment,Entailment,Entailment,1.901399249998576,1.097538333000557
161,Entailment,Entailment,Entailment,2.01692470800117,1.2545600409994222
162,Entailment,Entailment,Entailment,2.1284066670014,1.1004671249993407
163,Entailment,Entailment,Entailment,2.022216708999622,1.3393615000004502
164,Entailment,Entailment,Entailment,1.8749177919999056,1.19095258300149
165,Entailment,Entailment,Entailment,2.1244199169996136,1.2096373329986818
166,Contradiction,Contradiction,Contradiction,1.8849010409976472,1.1469411669968397
167,Contradicted,Entailment,Entailment,1.8915766249992885,4.250304375000269
168,Contradicted,Contradicted,Entailment,1.940648750000037,1.1055385830004525
169,Entailment,Entailment,Entailment,2.1831423329986137,1.473670833000142
170,Entailment,Entailment,Entailment,2.1323521670001355,3.386683125001582
171,Entailment,Entailment,Entailment,2.045378625000012,3.311243916999956
172,Entailment,Entailment,Entailment,1.895633624999391,1.3685859170000183
173,Contradiction,Entailment,Entailment,1.7393494580010156,1.0397410000005038
174,Entailment,Entailment,Entailment,2.019136167000397,1.062364458999582
175,Entailment,Entailment,Entailment,2.0184947079997073,1.4396505000004254
176,Entailment,Entailment,Entailment,1.87463229199966,1.0354183750005177
177,Entailment,Entailment,Entailment,1.899751417000516,1.10889912499988
178,Entailment,Entailment,Entailment,2.2074212089992216,1.4725423750005575
179,Entailment,Entailment,Entailment,2.030929667000237,1.0549955000024056
180,Entailment,Entailment,Entailment,1.93522870799643,1.0188903330054018
181,Entailment,Entailment,Entailment,5.3582877080007165,2.6771942080013105
182,Contradicted,Contradicted,Contradiction,2.2892220840003574,3.948992958999952
183,Entailment,Entailment,Entailment,2.14185445899966,1.3658185000003868
184,Entailment,Entailment,Entailment,2.031977750000806,1.4630300419994455
185,Entailment,Entailment,Entailment,2.042427124999449,1.323848583000654
186,Entailment,Entailment,Entailment,2.2338750420003635,1.296107916999972
187,Contradiction,Contradiction,Contradiction,2.1534876659989095,1.5792818339996302
188,Contradiction,Contradicted,Contradiction,2.0310924999994313,1.2188415000000532
189,Entailment,Entailment,Entailment,4.029293707999386,1.1068759580011829
190,Entailment,Entailment,Entailment,2.239287459000479,1.5067135829995095
191,Entailment,Contradicted,Entailment,2.107751083000039,1.2339400420023594
192,Contradiction,Contradiction,Contradiction,1.8886867909968712,1.006786750003812
193,Contradiction,Contradiction,Contradiction,4.652773334000813,1.0692044999996142
194,Contradiction,Contradiction,Contradiction,2.038460416999442,1.1792841670012422
195,Contradiction,Contradiction,Contradiction,1.9311570419995403,1.2195833750010934
196,Contradiction,Contradiction,Contradiction,1.818274957999165,1.3538196250010517
197,Contradiction,Contradicted,Contradiction,2.091635208000298,1.248161916000754
198,Contradiction,Contradicted,Contradiction,2.045649333000256,1.3635231660009597
199,Entailment,Entailment,Entailment,2.3589822499998263,1.418383541998992
